n_param,density,seed,n_traversable,d_shortest,path_length,reactions,gradient_reactions,agent_moves,tagging_reactions,termination_reactions,final_time,reached,first_gradient_time,first_tagging_time,first_agent_move_time,reached_time
20,0.0,19,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.0,20,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.0,21,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.0,22,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.0,23,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.0,24,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.0,25,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.0,26,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.0,27,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.0,28,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.0,29,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.1,0,360,38,40,438,397,39,1,1,34.52528230017931,True,0.044718313135184096,1.462223064125283,1.9895500405696356,34.52528230017931
20,0.1,1,355,38,38,429,390,37,1,1,37.07709304533785,True,0.044718313135184096,1.8830573692229815,1.9024255894545936,37.07709304533785
20,0.1,2,357,38,40,435,394,39,1,1,38.353684641138884,True,0.044718313135184096,1.6875531987077177,2.522329678645975,38.353684641138884
